Initial ID,ID,Class,Order,Family,Subfamily,Genus,Species,PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11,PT12,PT13,PT14,PT15
Pt174,MSp 431,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt176,MSp 433,Insecta,Hymenoptera,Sphecidae, Sphecinae,Sphex ,argentatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt177,MSp 434,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt178,MSp 435,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt179,MSp 436,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt180,MSp 437,Insecta,Diptera,Calliphoridae,Calliphorinae,Calliphora ,vomitoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt181,MSp 438,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt182,MSp 439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt183,MSp 440,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt184,MSp 441,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt185,MSp 442,Insecta,Coleoptera,Carabidae,Brachininae,Brachinus ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt186,MSp 443,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt187,MSp 444,Insecta,Blattodae,Blaberidae,Blaberinae,Pycnoscelus ,surinamensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt188,MSp 445,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt190,MSp 447,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt191,MSp 448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt192,MSp 449,Insecta,Hemiptera,Pentatomidae,Pentatominae,Menecles ,insertus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt193,MSp 450,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt194,MSp 451,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt195,MSp 452,Insecta,Orthoptera,Phalangopsidae,Cachoplistinae,Meloimorpha ,japonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt196,MSp 453,Insecta,Coleoptera,Chrysomelidae,Galerucinae ,Asphaera ,lustrans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt197,MSp 454,Insecta,Orthoptera,Aerididae,Gomphocerinae,Pseudochorthippus ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt198,MSp 455,Diplopoda,Platydesmida,Andrognathidae,Andrognathinae,Brachycybe ,producta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt200,MSp 457,Insecta,Coleoptera,Elateridae , Elaterinae,Melanotus ,similis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
